ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,2138478514.973447,1004211,1000000
2048,2154531119.291202,1993458,1000000
4096,2175962647.125579,1973824,1000000
8192,2180122258.329450,1970058,1000000
16384,2185259129.949879,1965427,1000000
32768,2186803467.751913,1964039,1000000
65536,2188004395.400622,1962961,1000000
131072,2188729154.552974,1962311,1000000
262144,2188801656.876864,1962246,1000000
524288,2189061589.296299,1962013,1000000
1048576,2189196600.016718,1961892,1000000
2097152,2189274712.996388,1961822,1000000
4194304,2187365890.277429,1963534,1000000
8388608,2187178755.228644,1963702,1000000
16777216,2187488436.527210,1963424,1000000
33554432,2187055129.994556,1963813,1000000
67108864,2187600968.358238,1963323,1000000
134217728,2187777031.477232,1963165,1000000
268435456,2187695682.337037,1963238,1000000
536870912,2187712397.419957,1963223,1000000
1073741824,2187339154.738490,1963558,1000000
2147483648,2187663367.234309,1963267,1000000
4294967296,2187668938.735635,1963262,1000000
8589934592,2187658910.053681,1963271,1000000
17179869184,2162639425.091038,1985984,1000000
