ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,3698566113.126178,1161252,1000000
2048,3296024630.969054,1303075,1000000
4096,3142993994.237922,1366521,1000000
8192,3026306374.457357,1419211,1000000
16384,2971789782.500695,1445246,1000000
32768,2944890898.332267,1458447,1000000
65536,2932118580.010923,1464800,1000000
131072,2925593515.827275,1468067,1000000
262144,2921867707.435478,1469939,1000000
524288,2920564326.684097,1470595,1000000
1048576,2920127477.622951,1470815,1000000
2097152,2919855505.822080,1470952,1000000
4194304,2917322845.834445,1472229,1000000
8388608,2917245566.703888,1472268,1000000
16777216,2917322845.834445,1472229,1000000
33554432,2917633985.294198,1472072,1000000
67108864,2917780660.028071,1471998,1000000
134217728,2917519034.324414,1472130,1000000
268435456,2917647859.299691,1472065,1000000
536870912,2917701374.556907,1472038,1000000
1073741824,2917651823.325497,1472063,1000000
2147483648,2917626057.350300,1472076,1000000
4294967296,2917633985.294198,1472072,1000000
8589934592,2917225752.201690,1472278,1000000
17179869184,2875617255.441787,1493581,1000000
34359738368,2877497593.804121,2985210,1000000
