ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,1501839740.066103,1429902,1000000
2048,1480281023.238693,1450727,1000000
4096,1469955957.799108,1460917,1000000
8192,1464265944.085412,1466594,1000000
16384,1462053813.521531,1468813,1000000
32768,1460957707.078300,1469915,1000000
65536,1459832478.613886,1471048,1000000
131072,1460040907.292305,1470838,1000000
262144,1459679668.733458,1471202,1000000
524288,1459740193.496069,1471141,1000000
1048576,1459759046.496484,1471122,1000000
2097152,1458751589.864537,1472138,1000000
4194304,1458534613.548209,1472357,1000000
8388608,1458651515.141224,1472239,1000000
16777216,1458813028.675150,1472076,1000000
33554432,1458746635.347245,1472143,1000000
67108864,1458801136.888556,1472088,1000000
134217728,1458757535.329712,1472132,1000000
268435456,1458679257.253206,1472211,1000000
536870912,1458801136.888556,1472088,1000000
1073741824,1458794200.102575,1472095,1000000
2147483648,1458155307.793636,1472740,1000000
4294967296,1458581173.801713,1472310,1000000
8589934592,1447812386.356818,1483261,1000000
17179869184,1448077446.266477,2965979,1000000
