ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,26694058.870326,1257,1000
2048,26112398.443580,1285,1000
4096,21536862.644416,1558,1000
8192,23967451.428571,1400,1000
16384,23646534.178999,1419,1000
32768,22779655.125594,1473,1000
65536,22951047.879617,1462,1000
131072,23285518.390007,1441,1000
262144,23188964.754665,1447,1000
524288,23221060.207612,1445,1000
1048576,23253244.629245,1443,1000
2097152,23285518.390007,1441,1000
4194304,14525728.138528,1155,1000
8388608,12246143.065693,1370,1000
16777216,6732430.176565,1246,1000
33554432,8101021.728634,2071,1000
67108864,8988596.839003,3733,1000
134217728,9531155.233632,7041,1000
268435456,9811954.675049,13679,1000
536870912,10428727.894328,25740,1000
1073741824,10986819.032027,48865,1000
2147483648,12021023.085018,89322,1000
4294967296,12675427.768695,169421,1000
17179869184,0.000000,1442,1000
34359738368,0.000000,1459,1000
68719476736,0.000000,1438,1000
137438953472,0.000000,1440,1000
274877906944,0.000000,1445,1000
549755813888,0.000000,1443,1000
1099511627776,0.000000,1436,1000
2199023255552,0.000000,1440,1000
4398046511104,0.000000,1437,1000
