ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,33554432.000000,1262,1000
2048,33554432.000000,1275,1000
4096,33554432.000000,1371,1000
8192,33554432.000000,1402,1000
16384,33554432.000000,1418,1000
32768,33554432.000000,1431,1000
65536,33554432.000000,1433,1000
131072,33554432.000000,1447,1000
262144,33554432.000000,1443,1000
524288,33554432.000000,1438,1000
1048576,33554432.000000,1441,1000
2097152,33554432.000000,1439,1000
4194304,16777216.000000,1158,1000
8388608,16777216.000000,1370,1000
16777216,8388608.000000,1150,1000
33554432,16777216.000000,1976,1000
67108864,11184810.666667,3620,1000
134217728,11184810.666667,6944,1000
268435456,10324440.615385,13483,1000
536870912,10737418.240000,25443,1000
1073741824,11422785.361702,47207,1000
2147483648,12201611.636364,88993,1000
4294967296,12782640.761905,168798,1000
17179869184,0.000000,1437,1000
34359738368,0.000000,1445,1000
68719476736,0.000000,1444,1000
137438953472,0.000000,1451,1000
274877906944,0.000000,1441,1000
549755813888,0.000000,1441,1000
1099511627776,0.000000,1441,1000
2199023255552,0.000000,1440,1000
4398046511104,0.000000,1438,1000
